id	interest_name	facebook_page	facebook_id	url	category	topic	political_bias
1	"Shepherd Express"	"Shepherd Express"	29579817055	http://www.shepherdexpress.com	Newspaper	News and entertainment	-0.7500
2	"Cupcake Wars"	"Cupcake Wars"	128851250548954	http://www.foodnetwork.com/cupcake-wars/index.html	TV Show	News and entertainment	-0.2209
3	"The Prisoner"	"The Prisoner"	84260602147	http://www.amctv.com/originals/the-prisoner/premiere/	TV Show	News and entertainment	-0.2238
4	"Dorados de Sinaloa"	"Dorados de Sinaloa"	41059287774	http://www.DoradosFC.com.mx	Sports Team	Sports and outdoors	-0.7570
5	"Texts From Last Night"	""	-	-	Website	Business and industry	-0.1848
6	"Ear to the Ground"	"Ear to the Ground"	44628560492	www.rte.ie/tv/eartotheground	TV Show	News and entertainment	0.1512
7	"Tom Goes to the Mayor"	""	-	-	TV Show	News and entertainment	-1.2583
8	"Elbotola"	"Elbotola"	125755974109904	www.elbotola.com	News & Media Website	News and entertainment	-0.9976
9	"Catalyst Athletics"	"Catalyst Athletics"	340802314565	www.catalystathletics.com	Recreation & Sports Website	-	0.3459
10	"Radio Mirchi"	"Radio Mirchi"	134797139902640	http://www.radiomirchi.com/default.php	Radio Station	Business and industry	-0.8731
11	"fredericksburg.com"	"fredericksburg.com"	353753894044	http://fredericksburg.com	Website	News and entertainment	0.4336
12	"VicenzaToday"	"VicenzaToday"	212021655498004	www.vicenzatoday.it	News & Media Website	News and entertainment	0.2148
13	"Classic 21"	""	-	-	Radio Station	News and entertainment	-0.4507
14	"MDZ Online"	""	-	-	Newspaper	News and entertainment	-0.7519
15	"Fit Bottomed Girls"	"Fit Bottomed Girls"	15340352283	www.fitbottomedgirls.com	Health & Wellness Website	Fitness and wellness	0.0688
16	"Hermano mayor"	"Hermano mayor"	153934888039980	http://www.cuatro.com/hermano-mayor	TV Show	News and entertainment	-0.9324
17	"Karthik (actor)"	""	-	-	Arts & Entertainment	People	-0.6286
18	"89.5 Music Fm"	"89.5 Music Fm"	243310589079932	http://www.musicfm.hu	Radio Station	News and entertainment	-0.5140
19	"Architecture Lab"	"Architecture Lab"	68160188915	http://www.architecturelab.net	News & Media Website	News and entertainment	-0.8227
20	"Ennahar tv"	"Ennahar tv"	379469962080762	http://www.ennaharonline.com	TV Channel	-	-0.9238
21	"Cracked.com"	"Cracked.com"	5975759948	http://www.cracked.com/	Website	Business and industry	-0.2654
22	"Business Today (business magazine)"	""	-	-	Magazine	News and entertainment	-0.2330
23	"Papercut Magazine"	"Papercut Magazine"	106789389351754	papercutmag.com	Magazine	News and entertainment	-0.9394
24	"Trend (magazine)"	""	-	-	Media/News Company	News and entertainment	-0.4667
25	"JenProMuze.cz"	"JenProMuze.cz"	290433758446	www.jenpromuze.cz	Entertainment Website	News and entertainment	-0.6167
26	"Idol 2014 (Sweden)"	""	-	-	TV Show	News and entertainment	-0.0609
27	"K97 FM"	"K97 FM"	50384844535	http://www.K97FM.com	Broadcasting & Media Production Company	News and entertainment	-1.6167
28	"Todo Deportes"	""	-	-	TV Channel	News and entertainment	-1.0000
29	"TakePart.com"	"TakePart.com"	9287842439	http://www.TakePart.com	News & Media Website	News and entertainment	-0.5459
30	"Fox News Channel"	""	-	-	-	News and entertainment	0.8254
31	"Vogue Paris"	"Vogue Paris"	156145164544276	http://en.vogue.fr	Magazine	News and entertainment	-0.9106
32	"Breakfast (TVNZ)"	""	-	-	TV Show	News and entertainment	-0.6250
33	"Wedding TV"	""	-	-	TV Network	News and entertainment	-0.3077
34	"Manicomio de la Risa"	"Manicomio de la Risa"	191248383902	http://www.radioomega.fm	Radio Station	News and entertainment	-0.6940
35	"Komputer \u015awiat"	"Komputer \u015awiat"	329806610551	www.komputerswiat.pl	News & Media Website	News and entertainment	-0.5938
36	"Olimpia Milano"	"Olimpia Milano"	134473006626000	http://www.olimpiamilano.com	Sports Team	Sports and outdoors	-0.7356
37	"glamsham.com"	"glamsham.com"	41813446130	http://www.glamsham.com	Media/News Company	News and entertainment	-0.8736
38	"Swansea RFC"	"Swansea RFC"	130950560308311	http://www.swansearfc.co.uk	Sports Team	Sports and outdoors	-0.2778
39	"Lucky Peach"	"Lucky Peach"	194672180580839	http://www.luckypeach.com	Magazine	News and entertainment	-1.0742
40	"Infomotori"	"Infomotori"	300371750102	http://www.infomotori.com	Cars	News and entertainment	-0.3158
41	"England national under-17 football team"	""	-	-	Sports Team	Sports and outdoors	-0.8608
42	"The Chris Evans Breakfast Show"	"The Chris Evans Breakfast Show"	269910316647	http://www.bbc.co.uk/radio2/shows/chris-evans/	TV Show	News and entertainment	-0.2241
43	"Leggere libri \u2665"	"Leggere libri \u2665"	182366933732	http://link.recensionilibri.org/comep6c79	Society & Culture Website	News and entertainment	-1.0000
44	"Cuts"	"CutS"	1109162005807062	http://www.cutss.com	TV Show	News and entertainment	-0.0645
45	"Rundfunk Berlin-Brandenburg"	""	-	-	Broadcasting & Media Production Company	News and entertainment	-0.4330
46	"San Diego CityBeat"	"San Diego CityBeat"	139945276282	http://www.sdcitybeat.com	Newspaper	News and entertainment	-1.0375
47	"Monster Army"	"Monster Army"	9933016500	www.monsterarmy.com	Sports Team	Sports and outdoors	0.2533
48	"WGN America"	""	-	-	TV Channel	News and entertainment	0.0809
49	"VW Speed"	"VW SPEED"	101017606632136	Homepage:	Magazine	News and entertainment	0.0266
50	"Business Standard"	"Business Standard"	122094764539447	www.business-standard.com	Newspaper	News and entertainment	-0.6830
51	"Genes Reunited"	"Genes Reunited"	386401254713	www.genesreunited.co.uk	Website	Business and industry	0.5266
52	"TVNorge"	""	-	-	TV Network	News and entertainment	-0.5895
53	"Pink Magazine"	"Pink Magazine"	172612392201	http://www.pinkontheweb.com	News & Media Website	News and entertainment	0.3868
54	"ESPN Chicago"	"ESPN Chicago"	44254915681	http://WWW.ESPN.GO.COM	Broadcasting & Media Production Company	News and entertainment	-0.3687
55	"Leipziger Volkszeitung"	"Leipziger volkszeitung"	119277391750861	-	-	News and entertainment	-0.6296
56	"Wild West (TV series)"	""	-	-	TV Show	News and entertainment	0.5825
57	"The Real Estate Pros"	""	-	-	TV Show	News and entertainment	-0.2009
